Año,Departamento,"Tasa de mortalidad por causas externas por 100,000 habitantes",Número de fallecidos en accidentes de tránsito,Número de denuncias de violencia intrafamiliar,Número de homicidios por departamento,Porcentaje de niños con bajo peso al nacer,"Tasa de mortalidad por diarrea (A09) por cada 100,000 habitantes","Tasa bruta de mortalidad por cada 1,000 habitantes","Tasa de mortalidad por diabetes mellitus (E10-E14) por cada 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",0,,,,,,,,,,,,,,,,,
2018,Guatemala,88.8,374," 5,398 ","1,482",14.0,4.7,5.8,51.5,96.1,4.8,,,,,,,,,,,,,,,,,,
2018,El Progreso,83.5,49," 1,030 ",61,12.9,3.7,6.0,57.6,151.4,6.9,,,,,,,,,,,,,,,,,,
2018,Sacatepéquez,58.6,46," 1,776 ",38,17.4,2.5,5.0,58.7,81.5,4.4,,,,,,,,,,,,,,,,,,
2018,Chimaltenango,56.9,61," 1,647 ",105,16.5,8.9,4.4,34.7,59.7,7.7,,,,,,,,,,,,,,,,,,
2018,Escuintla,119.1,133, 547 ,372,10.6,3.9,6.2,58.5,91.0,5.4,,,,,,,,,,,,,,,,,,
2018,Santa Rosa,84.2,51," 1,224 ",128,13.1,2.7,5.4,30.2,102.2,4.8,,,,,,,,,,,,,,,,,,
2018,Sololá,52.7,31, 485 ,19,13.9,22.4,4.4,38.6,44.4,6.5,,,,,,,,,,,,,,,,,,
2018,Totonicapán,66.6,19, 394 ,12,18.5,18.0,5.8,36.9,39.4,5.2,,,,,,,,,,,,,,,,,,
2018,Quetzaltenango,71.3,63," 1,552 ",165,18.5,5.6,5.7,49.1,84.0,4.9,,,,,,,,,,,,,,,,,,
2018,Suchitepéquez,53.8,42," 2,073 ",73,8.9,5.1,5.5,30.8,42.9,2.7,,,,,,,,,,,,,,,,,,
2018,Retalhuleu,71.9,40," 1,392 ",69,8.1,4.8,5.7,29.9,40.0,2.7,,,,,,,,,,,,,,,,,,
2018,San Marcos,44.9,39," 1,751 ",101,14.2,15.1,4.7,35.3,83.4,7.6,,,,,,,,,,,,,,,,,,
2018,Huehuetenango,43.3,46," 1,072 ",55,11.0,15.7,3.7,29.6,64.9,5.8,,,,,,,,,,,,,,,,,,
2018,Quiché,45.2,25, 575 ,23,12.5,15.9,4.3,23.6,38.4,6.3,,,,,,,,,,,,,,,,,,
2018,Baja Verapaz,69.9,32, 548 ,32,14.6,12.9,4.8,32.8,99.2,6.9,,,,,,,,,,,,,,,,,,
2018,Alta Verapaz,43.9,75," 3,873 ",89,11.5,34.5,4.2,23.8,46.7,9.1,,,,,,,,,,,,,,,,,,
2018,Petén,92.5,68, 799 ,257,8.9,10.9,4.0,34.6,58.7,4.2,,,,,,,,,,,,,,,,,,
2018,Izabal,108.2,104, 795 ,213,9.2,13.6,5.6,38.1,102.1,4.8,,,,,,,,,,,,,,,,,,
2018,Zacapa,124.2,54, 635 ,140,14.6,2.2,6.2,50.3,173.5,5.3,,,,,,,,,,,,,,,,,,
2018,Chiquimula,82.8,49, 566 ,169,16.2,8.4,5.1,31.9,128.5,6.6,,,,,,,,,,,,,,,,,,
2018,Jalapa,73.8,15, 534 ,132,17.4,11.6,5.0,29.4,83.8,5.2,,,,,,,,,,,,,,,,,,
2018,Jutiapa,79.6,53," 1,294 ",149,12.5,3.5,5.5,49.8,170.1,3.9,,,,,,,,,,,,,,,,,,
2017,Guatemala,98.2,356,"5,451","1,801",13.8,5.4,5.8,53.5,93.6,4.8,,,,,,,,,,,,,,,,,,
2017,El Progreso,87.6,44,825,45,13.4,1.3,6.2,45.9,175.5,7.1,,,,,,,,,,,,,,,,,,
2017,Sacatepéquez,56.9,41,"1,623",53,16.0,3.2,4.8,54.7,71.8,4.7,,,,,,,,,,,,,,,,,,
2017,Chimaltenango,54.1,62,"1,673",112,15.6,10.8,4.5,36.5,61.1,8.0,,,,,,,,,,,,,,,,,,
2017,Escuintla,106.3,184,374,418,9.7,4.1,6.1,57.3,107.8,5.9,,,,,,,,,,,,,,,,,,
2017,Santa Rosa,98.7,80,"1,089",164,12.8,1.1,5.6,36.6,105.6,5.7,,,,,,,,,,,,,,,,,,
2017,Sololá,50.8,30,550,23,13.8,15.5,4.5,32.8,51.7,7.8,,,,,,,,,,,,,,,,,,
